date,total_clones,unique_clones
2022-08-13,1,1
2022-08-14,1,1
2022-08-15,0,0
2022-08-16,0,0
2022-08-17,0,0
2022-08-18,0,0
2022-08-19,0,0
2022-08-20,0,0
2022-08-21,0,0
2022-08-22,0,0
2022-08-23,0,0
2022-08-24,1,1
2022-08-25,9,6
2022-08-26,5,4
2022-08-27,8,3
2022-08-28,5,4
2022-08-29,4,3
2022-08-30,4,3
2022-08-31,4,3
2022-09-01,3,3
2022-09-02,3,3
2022-09-03,2,2
2022-09-04,2,2
2022-09-05,3,3
2022-09-06,2,2
2022-09-07,2,2
2022-09-08,3,3
2022-09-09,2,2
2022-09-10,2,2
2022-09-11,2,2
2022-09-12,2,2
2022-09-13,4,3
2022-09-14,2,2
2022-09-15,1,1
2022-09-16,2,2
2022-09-17,2,2
2022-09-18,2,2
2022-09-19,1,1
2022-09-20,1,1
2022-09-21,2,2
2022-09-22,2,2
2022-09-23,1,1
2022-09-24,2,2
2022-09-25,2,2
2022-09-26,2,2
2022-09-27,1,1
2022-09-28,2,2
2022-09-29,1,1
2022-09-30,1,1
2022-10-01,1,1
2022-10-02,1,1
2022-10-03,2,2
2022-10-04,1,1
2022-10-05,1,1
2022-10-06,1,1
2022-10-07,3,2
2022-10-08,3,2
2022-10-09,3,2
2022-10-10,1,1
2022-10-11,1,1
2022-10-12,5,4
2022-10-13,4,3
2022-10-14,5,4
2022-10-15,4,3
2022-10-16,5,4
2022-10-17,5,4
2022-10-18,4,3
2022-10-19,2,2
2022-10-20,2,2
2022-10-21,6,6
2022-10-22,2,2
2022-10-23,3,3
2022-10-24,3,3
2022-10-25,5,4
2022-10-26,2,2
2022-10-27,3,3
2022-10-28,3,3
2022-10-29,2,2
2022-10-30,3,3
2022-10-31,1,1
2022-11-01,3,3
2022-11-02,2,2
2022-11-03,4,4
2022-11-04,2,2
2022-11-05,2,2
2022-11-06,2,2
2022-11-07,3,3
2022-11-08,2,2
2022-11-09,3,3
2022-11-10,2,2
2022-11-11,2,2
2022-11-12,3,3
2022-11-13,2,2
2022-11-14,4,4
2022-11-15,3,3
2022-11-16,2,2
2022-11-17,2,2
2022-11-18,2,2
2022-11-19,2,2
2022-11-20,2,2
2022-11-21,4,4
2022-11-22,2,2
2022-11-23,2,2
2022-11-24,2,2
2022-11-25,3,3
2022-11-26,2,2
2022-11-27,3,3
2022-11-28,2,2
2022-11-29,1,1
2022-11-30,2,2
2022-12-01,2,2
2022-12-02,2,2
2022-12-03,2,2
2022-12-04,1,1
2022-12-05,2,2
2022-12-06,1,1
2022-12-07,10,7
2022-12-08,1,1
2022-12-09,3,3
2022-12-10,1,1
2022-12-11,1,1
2022-12-12,1,1
2022-12-13,2,2
2022-12-14,2,1
2022-12-15,3,3
2022-12-16,1,1
2022-12-17,2,2
2022-12-18,2,2
2022-12-19,3,3
2022-12-20,2,2
2022-12-21,3,2
2022-12-22,1,1
2022-12-23,2,2
2022-12-24,2,2
2022-12-25,2,2
2022-12-26,2,2
2022-12-27,1,1
2022-12-28,1,1
2022-12-29,2,2
2022-12-30,2,2
2022-12-31,1,1
2023-01-01,1,1
2023-01-02,1,1
2023-01-03,5,4
2023-01-04,14,8
2023-01-05,3,2
2023-01-06,3,2
2023-01-07,1,1
2023-01-08,1,1
2023-01-09,3,3
2023-01-10,1,1
2023-01-11,1,1
2023-01-12,1,1
2023-01-13,1,1
2023-01-14,2,2
2023-01-15,2,2
2023-01-16,3,3
2023-01-17,1,1
2023-01-18,1,1
2023-01-19,2,2
2023-01-20,1,1
2023-01-21,1,1
2023-01-22,1,1
2023-01-23,2,2
2023-01-24,1,1
2023-01-25,1,1
2023-01-26,1,1
2023-01-27,1,1
2023-01-28,1,1
2023-01-29,1,1
2023-01-30,2,2
2023-01-31,1,1
2023-02-01,1,1
2023-02-02,1,1
2023-02-03,1,1
2023-02-04,1,1
2023-02-05,1,1
2023-02-06,3,3
2023-02-07,1,1
2023-02-08,1,1
2023-02-09,2,2
2023-02-10,2,2
2023-02-11,1,1
2023-02-12,1,1
2023-02-13,3,3
2023-02-14,1,1
2023-02-15,2,2
2023-02-16,2,2
2023-02-17,1,1
2023-02-18,1,1
2023-02-19,1,1
2023-02-20,2,2
2023-02-21,1,1
2023-02-22,3,3
2023-02-23,3,3
2023-02-24,1,1
2023-02-25,3,3
2023-02-26,1,1
2023-02-27,1,1
2023-02-28,2,2
2023-03-01,1,1
2023-03-02,8,5
2023-03-03,2,1
2023-03-04,1,1
2023-03-05,3,3
2023-03-06,3,3
2023-03-07,1,1
2023-03-08,1,1
2023-03-09,1,1
2023-03-10,1,1
2023-03-11,1,1
2023-03-12,1,1
2023-03-13,3,3
2023-03-14,1,1
2023-03-15,1,1
2023-03-16,1,1
2023-03-17,1,1
2023-03-18,1,1
2023-03-19,1,1
2023-03-20,2,2
2023-03-21,1,1
2023-03-22,2,2
2023-03-23,2,2
2023-03-24,1,1
2023-03-25,1,1
2023-03-26,3,2
2023-03-27,3,3
2023-03-28,2,2
2023-03-29,1,1
2023-03-30,1,1
2023-03-31,2,2
2023-04-01,2,2
2023-04-02,2,2
2023-04-03,2,2
2023-04-04,1,1
2023-04-05,1,1
2023-04-06,1,1
2023-04-07,1,1
2023-04-08,1,1
2023-04-09,1,1
2023-04-10,1,1
2023-04-11,3,3
2023-04-12,2,2
2023-04-13,1,1
2023-04-14,1,1
2023-04-15,1,1
2023-04-16,1,1
2023-04-17,2,2
2023-04-18,1,1
2023-04-19,1,1
2023-04-20,1,1
2023-04-21,2,2
2023-04-22,3,2
2023-04-23,1,1
2023-04-24,2,2
2023-04-25,1,1
2023-04-26,1,1
2023-04-27,1,1
2023-04-28,1,1
2023-04-29,1,1
2023-04-30,1,1
2023-05-01,2,2
2023-05-02,2,2
2023-05-03,1,1
2023-05-04,1,1
2023-05-05,1,1
2023-05-06,1,1
2023-05-07,1,1
2023-05-08,2,2
2023-05-09,1,1
2023-05-10,1,1
2023-05-11,1,1
2023-05-12,1,1
2023-05-13,1,1
2023-05-14,1,1
2023-05-15,2,2
2023-05-16,1,1
2023-05-17,1,1
2023-05-18,1,1
2023-05-19,1,1
2023-05-20,2,2
2023-05-21,1,1
2023-05-22,2,2
2023-05-23,5,3
2023-05-24,5,3
2023-05-25,1,1
2023-05-26,1,1
2023-05-27,1,1
2023-05-28,2,2
2023-05-29,4,4
2023-05-30,1,1
2023-05-31,1,1
2023-06-01,1,1
2023-06-02,1,1
2023-06-03,1,1
2023-06-04,1,1
2023-06-05,2,2
2023-06-06,1,1
2023-06-07,1,1
2023-06-08,1,1
2023-06-09,1,1
2023-06-10,1,1
2023-06-11,1,1
2023-06-12,1,1
